fighter_name,Height,Weight,Reach,Stance,DOB
AJ Fonseca,"5' 4""",145 lbs.,NA,NA,NA
AJ Matthews,"5' 11""",185 lbs.,NA,NA,NA
AJ McKee,"5' 10""",145 lbs.,NA,NA,NA
AJ Siscoe,"5' 7""",135 lbs.,NA,NA,NA
Aalon Cruz,"6' 0""",145 lbs.,NA,NA,NA
Aaron Brink,"6' 3""",205 lbs.,NA,Orthodox,"Nov 12, 1974"
Aaron Ely,"5' 8""",135 lbs.,NA,NA,"Mar 18, 1989"
Aaron Jeffery,"6' 2""",185 lbs.,NA,NA,"Nov 14, 1992"
Aaron Lanfranco,NA,155 lbs.,NA,NA,"Aug 26, 1986"
Aaron Miller,"5' 9""",145 lbs.,NA,NA,NA
Aaron Phillips,"5' 9""",135 lbs.,"70""",Southpaw,"Aug 05, 1989"
Aaron Riley,"5' 8""",155 lbs.,"69""",Southpaw,"Dec 09, 1980"
Aaron Rosa,"6' 4""",205 lbs.,"78""",Orthodox,"May 28, 1983"
Aaron Simpson,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 20, 1974"
Aaron Trujillo,"5' 5""",125 lbs.,NA,NA,NA
Aaron Wetherspoon,NA,170 lbs.,NA,NA,NA
Aaron Wilkinson,"5' 10""",155 lbs.,NA,NA,"Jan 31, 1987"
Abdul Razak Alhassan,"5' 10""",170 lbs.,"73""",Orthodox,"Aug 11, 1985"
Abdul-Kerim Edilov,"6' 2""",205 lbs.,"78""",Orthodox,"Nov 25, 1991"
Abel Cullum,"5' 7""",139 lbs.,NA,Orthodox,"Apr 21, 1987"
Abel Trujillo,"5' 8""",155 lbs.,"70""",Orthodox,"Sep 18, 1983"
Abner Lloveras,"5' 11""",155 lbs.,"71""",NA,"Sep 04, 1982"
Abongo Humphrey,"5' 11""",205 lbs.,NA,Orthodox,NA
Abram Torres,"5' 10""",170 lbs.,NA,NA,"Oct 29, 1982"
Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986"
Achmed Labasanov,"6' 3""",215 lbs.,NA,Orthodox,"Apr 24, 1978"
Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982"
Adam Cella,"6' 2""",170 lbs.,"78""",NA,"Jun 26, 1985"
Adam Hunter,"6' 1""",185 lbs.,"73""",Orthodox,"Oct 16, 1983"
Adam Khaliev,"6' 0""",170 lbs.,NA,Orthodox,"Apr 16, 1984"
Adam Lynn,"5' 10""",155 lbs.,NA,Orthodox,NA
Adam Meredith,"6' 2""",170 lbs.,NA,NA,NA
Adam Milstead,"6' 3""",205 lbs.,"76""",Orthodox,"Jul 03, 1987"
Adam Piccolotti,"5' 11""",155 lbs.,NA,NA,"Oct 23, 1988"
Adam Schindler,"5' 8""",155 lbs.,NA,NA,"May 19, 1983"
Adam Smith,NA,NA,NA,NA,NA
Adam Steele,NA,170 lbs.,NA,NA,NA
Adam Wieczorek,"6' 5""",250 lbs.,"81""",Orthodox,"Feb 05, 1992"
Adam Yandiev,"5' 9""",185 lbs.,"74""",Orthodox,"Aug 07, 1988"
Adin Duenas,"5' 6""",145 lbs.,NA,NA,"Jul 02, 1988"
Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986"
Adli Edwards,NA,145 lbs.,NA,NA,"Aug 28, 1989"
Adrian Diaz,"5' 10""",145 lbs.,NA,Southpaw,"Apr 26, 1988"
Adrian Serrano,"5' 8""",170 lbs.,NA,NA,"Dec 23, 1963"
Adriano Martins,"5' 10""",155 lbs.,"72""",Southpaw,"Dec 16, 1982"
Adriano Santos,NA,NA,NA,NA,NA
Adrienna Jenkins,"5' 8""",145 lbs.,NA,NA,"Jul 22, 1981"
Aiemann Zahabi,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1987"
Aisling Daly,"5' 2""",115 lbs.,"64""",NA,"Dec 24, 1987"
Aji Susilo,"5' 10""",155 lbs.,NA,NA,NA
Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983"
Akihiro Gono,"5' 7""",170 lbs.,"68""",Switch,"Oct 07, 1974"
Akihito Tanaka,NA,NA,NA,Southpaw,NA
Akira Corassani,"5' 8""",145 lbs.,"68""",Orthodox,"Aug 27, 1982"
Akira Kikuchi,"5' 8""",155 lbs.,NA,Orthodox,"Jul 23, 1978"
Akira Shoji,"5' 8""",195 lbs.,NA,Orthodox,"Jan 31, 1974"
Akitoshi Tamura,"5' 9""",135 lbs.,"70""",Orthodox,"May 31, 1980"
Akiyo Nishiura,"5' 8""",139 lbs.,NA,Southpaw,"Aug 08, 1983"
Al Iaquinta,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 30, 1987"
Alan Belcher,"6' 2""",185 lbs.,"73""",Orthodox,"Apr 24, 1984"
Alan Gomez,NA,155 lbs.,NA,NA,NA
Alan Hiro,"5' 5""",135 lbs.,NA,Orthodox,"Apr 04, 1986"
Alan Jouban,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 25, 1981"
Alan Omer,"5' 10""",145 lbs.,"71""",Orthodox,"Sep 14, 1988"
Alan Patrick,"5' 11""",155 lbs.,"74""",Southpaw,"Jul 19, 1983"
Alavutdin Gadjiev,"6' 2""",185 lbs.,NA,Orthodox,"Jun 23, 1982"
Albert Cheng,"5' 11""",170 lbs.,NA,Orthodox,"Feb 07, 1985"
Albert Morales,"5' 9""",135 lbs.,"72""",Orthodox,"May 25, 1991"
Albert Rios,"5' 8""",145 lbs.,NA,NA,NA
Albert Tumenov,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 26, 1991"
Alberta Cerra Leon,"5' 8""",238 lbs.,NA,NA,NA
Alberto Crane,"5' 5""",155 lbs.,NA,Orthodox,"Jul 14, 1976"
Alberto Mina,"6' 0""",170 lbs.,"77""",Orthodox,"May 02, 1982"
Alberto Uda,"6' 3""",185 lbs.,"77""",Orthodox,"Aug 08, 1984"
Alejandro Garcia,"5' 7""",145 lbs.,NA,NA,NA
Alejandro Perez,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 02, 1989"
Alejandro Villalobos,"5' 7""",145 lbs.,NA,NA,"Oct 26, 1979"
Aleksa Camur,"6' 0""",205 lbs.,NA,NA,"Sep 25, 1995"
Aleksandar Rakic,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992"
Aleksander Emelianenko,"6' 6""",255 lbs.,NA,Orthodox,"Aug 02, 1981"
Aleksei Kunchenko,"5' 8""",170 lbs.,"70""",Orthodox,"May 02, 1984"
Aleksei Oleinik,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977"
Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988"
Alessandro Ricci,"5' 11""",155 lbs.,"69""",Orthodox,"Jul 21, 1982"
Alessio Di Chirico,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989"
Alessio Sakara,"6' 0""",185 lbs.,"72""",Orthodox,"Sep 02, 1981"
Alex Andrade,"5' 11""",200 lbs.,NA,Orthodox,"May 14, 1974"
Alex Caceres,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988"
Alex Chambers,"5' 3""",115 lbs.,"63""",NA,"Oct 25, 1978"
Alex Crispin,NA,155 lbs.,NA,NA,NA
Alex Da Silva,"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996"
Alex Dunworth,"5' 8""",155 lbs.,NA,NA,NA
Alex Enlund,"5' 10""",145 lbs.,"73""",Orthodox,"May 27, 1987"
Alex Garcia,"5' 9""",170 lbs.,"72""",Orthodox,"Jul 14, 1987"
Alex Gilpin,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 26, 1992"
Alex Gorgees,"6' 2""",155 lbs.,"74""",Switch,"Aug 11, 1995"
Alex Higley,"5' 10""",145 lbs.,NA,NA,NA
Alex Huddleston,"6' 7""",254 lbs.,NA,NA,"Aug 11, 1986"
Alex Hunter,"5' 9""",226 lbs.,NA,Orthodox,NA
Alex Karalexis,"5' 8""",155 lbs.,"66""",Orthodox,"Sep 20, 1977"
Alex Morono,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990"
Alex Nicholson,"6' 4""",185 lbs.,"81""",Orthodox,"May 02, 1990"
Alex Oliveira,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 21, 1988"
Alex Perez,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 21, 1992"
Alex Reyes,"5' 11""",170 lbs.,"73""",Orthodox,"Oct 02, 1986"
Alex Schoenauer,"6' 3""",185 lbs.,NA,Orthodox,"May 05, 1976"
Alex Serdyukov,"6' 2""",170 lbs.,"74""",Orthodox,"May 24, 1980"
Alex Soto,"5' 8""",135 lbs.,"71""",Southpaw,"Feb 15, 1984"
Alex Stiebling,"6' 2""",205 lbs.,NA,Southpaw,NA
Alex Torres,"5' 10""",145 lbs.,"70""",Orthodox,"May 29, 1988"
Alex White,"6' 0""",155 lbs.,"71""",Southpaw,"Oct 22, 1988"
Alex Zuniga,NA,145 lbs.,NA,NA,NA
Alexa Grasso,"5' 5""",115 lbs.,"66""",Orthodox,"Aug 09, 1993"
Alexander Crispim,NA,145 lbs.,NA,NA,NA
Alexander Gustafsson,"6' 5""",205 lbs.,"79""",Orthodox,"Jan 15, 1987"
Alexander Hernandez,"5' 9""",155 lbs.,"72""",Orthodox,"Oct 01, 1992"
Alexander Munoz,"5' 9""",155 lbs.,NA,Switch,"Feb 27, 1990"
Alexander Otsuka,"6' 1""",205 lbs.,NA,Orthodox,"Jul 17, 1971"
Alexander Poppeck,"6' 2""",205 lbs.,NA,NA,"Apr 06, 1992"
Alexander Romanov,"6' 0""",265 lbs.,NA,NA,"Dec 11, 1990"
Alexander Sarnavskiy,"5' 11""",155 lbs.,NA,NA,"Jan 17, 1989"
Alexander Shlemenko,"5' 11""",185 lbs.,NA,NA,"May 20, 1984"
Alexander Trevino,NA,170 lbs.,NA,NA,NA
Alexander Volkanovski,"5' 6""",145 lbs.,"71""",Orthodox,"Sep 29, 1988"
Alexander Volkov,"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988"
Alexander Yakovlev,"6' 3""",155 lbs.,"74""",Southpaw,"Jul 18, 1984"
Alexandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990"
Alexandre Barros,"5' 9""",170 lbs.,NA,Southpaw,"Nov 19, 1976"
Alexandre Dantas,"6' 2""",238 lbs.,NA,Orthodox,"Mar 01, 1979"
Alexandre Ferreira,"5' 7""",205 lbs.,NA,Orthodox,"Apr 25, 1979"
Alexandre Franca Nogueira,"5' 7""",145 lbs.,NA,Orthodox,"Jan 15, 1978"
Alexandre Pantoja,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990"
Alexandru Lungu,"6' 0""",385 lbs.,NA,Orthodox,"Sep 03, 1974"
Alexis Davis,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 04, 1984"
Alexis Dufresne,"5' 9""",135 lbs.,"68""",Orthodox,"Aug 31, 1990"
Alfonso Alcarez,"5' 3""",145 lbs.,NA,NA,"Jun 10, 1970"
Alfred Khashakyan,"5' 8""",135 lbs.,"70""",Orthodox,"Jul 17, 1988"
Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985"
Aliev Makhmud,"5' 6""",195 lbs.,NA,Southpaw,"Feb 13, 1970"
Alistair Overeem,"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980"
Aljamain Sterling,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 31, 1989"
Allan Goes,"6' 0""",205 lbs.,NA,Orthodox,"Apr 20, 1971"
Allan Nascimento,"5' 9""",125 lbs.,NA,Orthodox,"Sep 11, 1991"
Allan Zuniga,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 04, 1992"
Allen Berube,"5' 8""",155 lbs.,NA,Orthodox,"Aug 25, 1974"
Allen Crowder,"6' 3""",245 lbs.,"76""",Orthodox,"Nov 08, 1989"
